code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
isoc_bde15ar2,"Science, technology, digital society > Database by themes",Business expenditure on R&D (BERD) in ICT sector as % of total R&D expenditure by NACE Rev. 2 activity,2026-03-18,2025-12-03,2005,2024,4868
isoc_ic_biper2,"Science, technology, digital society > Database by themes",R&D personnel in ICT sector as % of total R&D personnel by NACE Rev. 2 activity,2026-03-18,2025-12-03,2005,2024,4334
sbs_ovw_act,"Science, technology, digital society > Database by themes",Enterprises by detailed NACE Rev. 2 activity and special aggregates,2026-03-10,2025-12-08,2021,2024,3286076
sbs_sc_ovw,"Science, technology, digital society > Database by themes",Enterprise statistics by size class and NACE Rev. 2 activity (from 2021 onwards),2026-03-10,2025-12-08,2021,2024,3481685
bd_l_form,"Science, technology, digital society > Database by themes",Business demography by legal form and NACE Rev. 2 activity,2026-03-13,2026-03-13,2009,2023,1040175
bd_size,"Science, technology, digital society > Database by themes",Business demography by size class and NACE Rev. 2 activity,2026-03-13,2026-03-13,2009,2023,3977177
bd_salge1_l_form,"Science, technology, digital society > Database by themes",Employer business demography by legal form and NACE Rev. 2 activity,2026-03-13,2026-03-13,2009,2023,979929
bd_salge1_size,"Science, technology, digital society > Database by themes",Employer business demography by size class and NACE Rev. 2 activity,2026-03-13,2026-03-13,2009,2023,3794299
bd_hg,"Science, technology, digital society > Database by themes",High growth enterprises and related employment by NACE Rev. 2 activity,2026-03-13,2026-01-16,2012,2024,281226
bd_hg_micro,"Science, technology, digital society > Database by themes",High growth micro enterprises and related employment by NACE Rev. 2 activity,2026-02-03,2025-10-24,2015,2023,130156
nama_10_nfa_st,"Science, technology, digital society > Database by themes",Capital stocks by industry (NACE Rev.2) and detailed asset type,2026-03-17,2026-03-17,1975,2025,8943126
ei_bssi_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Economic sentiment and confidence indicators by sector - monthly data,2026-02-26,2026-02-26,1980-01,2026-02,139850
ei_bsee_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Employment expectations indicators - monthly data,2026-02-26,2026-02-26,1980-01,2026-02,63990
ei_bsci_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Euro area business climate indicator - monthly data,2026-02-26,2026-02-26,1985-01,2026-02,986
ei_bslh_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Labour hoarding indicators - monthly data,2026-02-26,2026-02-26,1980-03,2026-02,72817
ei_bsin_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Industry confidence indicator and survey results - monthly data,2026-02-26,2026-02-26,1980-01,2026-02,251961
ei_bsin_q_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Industry survey results - quarterly data,2026-02-26,2026-01-29,1980-Q1,2026-Q1,88968
ei_bsbu_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Construction confidence indicator and survey results - monthly data,2026-02-26,2026-02-26,1980-01,2026-02,286478
ei_bsbu_q_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Construction survey results - quarterly data,2024-06-27,2024-04-29,1981-Q1,2024-Q2,7399
ei_bsrt_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Retail trade confidence indicator and survey results - monthly data,2026-02-26,2026-02-26,1984-02,2026-02,163546
ei_bsse_m_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Services confidence indicator and survey results - monthly data,2026-02-26,2026-02-26,1988-01,2026-02,117497
ei_bsse_q_r2,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Services survey results - quarterly data,2026-01-29,2026-01-29,2001-Q2,2026-Q1,36593
ei_bsfs_m,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Financial services confidence indicator and survey results - monthly data,2024-06-27,2023-12-21,2006-04,2023-03,9792
ei_bsfs_q,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Financial services survey results - quarterly data,2024-06-27,2023-12-21,2007-Q3,2023-Q1,9072
ei_bsco_m,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Consumers confidence indicator and survey results - monthly data,2026-02-26,2026-02-26,1980-01,2026-02,310998
ei_bsco_q,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Consumers survey results - quarterly data,2026-01-29,2026-01-29,1990-Q1,2026-Q1,15410
namq_10_gdp,European and national indicators for short-term analysis > General and regional statistics > Database by themes,"Gross domestic product (GDP) and main components (output, expenditure and income)",2026-03-19,2026-01-29,1975-Q1,2025-Q4,8347700
namq_10_fcs,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Household final consumption expenditure by durability,2026-03-19,2026-01-30,1978-Q1,2025-Q4,1096112
namq_10_exi,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Exports and imports by counterpart area,2026-03-19,2026-01-30,1978-Q1,2025-Q4,709056
namq_10_a10,European and national indicators for short-term analysis > General and regional statistics > Database by themes,Gross value added and income by main industry (NACE Rev.2 ),2026-03-19,2026-01-30,1975-Q1,2025-Q4,6046993
